EnsemblID	Chr	Start	End	Band	Symbol	isHK	isTF	isExtreme	LFC	P.val
ENSG00000054967	11	73376264	73397474	q13.4	RELT	0	0	0	0.489399435233821	1.39851769196793e-32
ENSG00000055070	1	16352575	16398145	p36.13	SZRD1	1	0	0	0.0279255789889298	0.265966364981386
ENSG00000055130	7	148697914	148801036	q36.1	CUL1	1	0	0	0.17529423971072	1.66506488173529e-08
ENSG00000055211	6	149566294	149591748	q25.1	GINM1	1	0	0	-0.466731767411277	2.00960302206791e-35
ENSG00000055950	10	100969458	100987515	q24.31	MRPL43	1	0	0	0.0931031218453511	0.0024568940861986
ENSG00000056736	3	53846580	53865800	p21.1	IL17RB	0	0	0	0.390325467946692	2.93832749090787e-07
ENSG00000057608	10	5765223	5842132	p15.1	GDI2	1	0	0	0.239292732868182	5.04078744264515e-10
ENSG00000057663	6	106045423	106325791	q21	ATG5	1	0	0	0.139109413400589	0.00826398113415832
ENSG00000057757	1	23778405	23788232	p36.11	PITHD1	1	0	0	-0.243720598469019	2.7209562044953e-13
ENSG00000058799	1	53851719	53889834	p32.3	YIPF1	1	0	0	0.774994170595959	1.15989192137834e-69
ENSG00000060749	11	32892820	32993316	p13	QSER1	0	0	0	0.0545114547846081	0.296479200611174
ENSG00000060762	6	166364919	166383013	q27	MPC1	0	0	1	-0.637070673469275	1.13866650273098e-34
ENSG00000062194	5	57173948	57264679	q11.2	GPBP1	1	1	0	0.229275944771794	2.51436390666664e-12
ENSG00000062485	12	56271699	56300392	q13.3	CS	0	0	0	-0.411734729893386	1.5172040457609e-40
ENSG00000062725	17	60443149	60526219	q23.2	APPBP2	0	0	0	0.0863221026215041	0.0828215768602177
ENSG00000063046	12	53006158	53042209	q13.13	EIF4B	0	0	0	-0.516345476148773	8.91631851112353e-36
ENSG00000063241	19	55452985	55462343	q13.42	ISOC2	1	0	0	0.476517343788306	6.92996744538682e-34
ENSG00000063245	19	55675226	55709858	q13.42	EPN1	1	0	0	0.492900988162478	1.48316465252491e-45
ENSG00000063322	19	39391303	39400637	q13.2	MED29	1	0	0	0.238536830291666	2.58163983798384e-10
ENSG00000063978	4	2462220	2625320	p16.3	RNF4	1	0	1	0.496204012191934	1.38517354336397e-56
ENSG00000064115	12	26973195	27014434	p11.23	TM7SF3	0	0	0	0.230933148145682	3.91649354523157e-05
ENSG00000064703	1	111755245	111768016	p13.2	DDX20	0	0	0	-0.0235008301005293	0.510348712141283
ENSG00000064961	19	3572777	3579088	p13.3	HMG20B	1	1	1	0.570014325497569	4.81589746945495e-47
ENSG00000064989	2	187343129	187448460	q32.1	CALCRL	0	0	0	-0.101131540931769	0.0750948650339788
ENSG00000065000	19	2100988	2164468	p13.3	AP3D1	1	0	1	0.443466668504347	2.5087048053858e-40
ENSG00000065057	16	2039815	2047866	p13.3	NTHL1	0	0	1	0.447393337174565	2.12694598633307e-34
ENSG00000065135	1	109548611	109618321	p13.3	GNAI3	0	0	0	0.386246267041005	2.08955651615269e-28
ENSG00000065183	1	117929720	117966542	p12	WDR3	1	0	0	0.0681669565350633	0.150724835095807
ENSG00000065427	16	75627474	75648643	q23.1	KARS	1	0	0	-0.575597004472539	5.96347820083026e-86
ENSG00000065457	16	75596981	75623300	q23.1	ADAT1	0	0	0	0.0223380311903462	0.567073068308187
ENSG00000065526	1	15847864	15940460	p36.21	SPEN	1	1	0	-0.369845885365137	2.66884161926452e-36
ENSG00000065534	3	123610049	123884331	q21.1	MYLK	0	0	0	-1.95226753356437	1.50988934651748e-182
ENSG00000065559	17	12020824	12143830	p12	MAP2K4	0	0	0	0.594429672095486	1.16602238874932e-24
ENSG00000065882	4	37891087	38139175	p14	TBC1D1	1	0	0	-0.0748985718291569	0.173112297289105
ENSG00000065883	7	39949646	40099580	p14.1	CDK13	1	0	0	0.48474704634755	5.89775917131752e-52
ENSG00000066056	1	43300993	43323108	p34.2	TIE1	0	0	0	-1.09271848729475	2.63382610669081e-216
ENSG00000066279	1	197084128	197146694	q31.3	ASPM	0	0	0	2.58973674600754	3.24223420873448e-215
ENSG00000066336	11	47354860	47378576	p11.2	SPI1	0	1	0	0.230624077921268	5.35787259048995e-22
ENSG00000066455	14	92794231	92839963	q32.12	GOLGA5	1	0	0	0.509552846489336	1.94203038409478e-50
ENSG00000066926	18	57548283	57586772	q21.31	FECH	1	0	0	0.181197834880735	0.000465544689622052
ENSG00000067248	5	55256245	55307722	q11.2	DHX29	1	0	0	0.569377010723968	1.72340530681825e-38
ENSG00000067369	15	43403061	43510728	q15.3	TP53BP1	0	0	0	0.575755792413486	7.89096144742583e-50
ENSG00000067560	3	49359145	49412998	p21.31	RHOA	1	0	0	0.111007127783965	4.00170329084483e-05
ENSG00000067596	17	43483865	43610338	q21.31	DHX8	1	0	0	0.261038062312924	7.80775818679725e-23
ENSG00000068024	2	239048168	239401654	q37.3	HDAC4	0	0	1	-0.597329377604384	8.25683095536347e-40
ENSG00000068097	17	60043194	60078931	q23.1	HEATR6	0	0	0	0.523753569182355	1.80341115445907e-18
ENSG00000068745	3	48688003	48740353	p21.31	IP6K2	1	0	0	0.0252226054137156	0.377289150150331
ENSG00000069248	1	229440260	229508341	q42.13	NUP133	1	0	0	0.469483756383081	3.16714625111397e-46
ENSG00000069345	16	46955362	46973788	q11.2	DNAJA2	1	0	0	-0.314222489678562	6.92557345884482e-14
ENSG00000070047	11	576486	612222	p15.5	PHRF1	1	0	1	0.286523284722373	1.10025338390539e-16
ENSG00000070366	17	2059839	2303771	p13.3	SMG6	0	0	1	-0.0668468795564278	0.0501511643478303
ENSG00000070367	14	57200507	57269008	q22.3	EXOC5	0	0	0	0.0714995795797632	0.024788480855841
ENSG00000070413	22	19036282	19122454	q11.21	DGCR2	1	0	0	0.259254352433147	2.97259358638249e-15
ENSG00000070423	19	647526	663277	p13.3	RNF126	1	0	1	-0.0863433447786431	0.00683338732286702
ENSG00000070444	17	2384060	2401118	p13.3	MNT	0	1	1	-0.155949361918098	1.59686167268483e-08
ENSG00000070495	17	76712832	76726799	q25.1	JMJD6	1	0	0	-0.336836674794302	1.18130900581065e-22
ENSG00000070718	8	42152946	42171673	p11.21	AP3M2	0	0	0	0.382860194078894	4.51583276405618e-08
ENSG00000070761	16	58113588	58129450	q21	CFAP20	0	0	0	-0.604314029536416	6.77359848225836e-66
ENSG00000070770	16	58157907	58197920	q21	CSNK2A2	0	0	0	-0.65899437595364	5.68323403571628e-88
ENSG00000071462	7	73683025	73705161	q11.23	BUD23	0	0	0	0.433473750796353	1.20484712176627e-37
ENSG00000071553	X	154428632	154436516	q28	ATP6AP1	1	0	1	1.10751356814221	1.22810363998429e-142
ENSG00000071655	19	1573596	1592801	p13.3	MBD3	1	1	1	-0.0643876297455685	0.0403991409028951
ENSG00000071894	8	144393229	144409349	q24.3	CPSF1	0	0	1	0.233564615425632	6.01870092885847e-09
ENSG00000071994	6	170575295	170584692	q27	PDCD2	1	0	1	-0.213962530763294	1.38110768289551e-08
ENSG00000072134	17	19215615	19336715	p11.2	EPN2	0	0	0	0.374030023610821	3.30564465463517e-15
ENSG00000072571	5	163460203	163491945	q34	HMMR	0	0	0	2.18302168085319	6.03756087190422e-177
ENSG00000072778	17	7217125	7225273	p13.1	ACADVL	1	0	0	-0.775056501744669	9.59562124096293e-77
ENSG00000072803	5	171861549	172006873	q35.1	FBXW11	1	0	0	0.144530651677056	2.86733449847779e-06
ENSG00000072840	4	5711197	5814305	p16.2	EVC	0	0	0	-0.19866883972625	0.000330213692459125
ENSG00000072849	17	5471251	5486811	p13.2	DERL2	1	0	0	-0.0212846567794114	0.558850986435504
ENSG00000073169	22	50200979	50217616	q13.33	SELENOO	0	0	1	0.0441793349464941	0.206463294306236
ENSG00000073578	5	218241	256700	p15.33	SDHA	1	0	1	0.0433850094019271	0.276345400776697
ENSG00000073605	17	39904595	39919854	q21.1	GSDMB	0	0	0	-0.749158050694518	1.21183018421582e-21
ENSG00000073969	17	46590669	46757464	q21.31	NSF	0	0	0	1.38728577299898	4.88644340717114e-125
ENSG00000074071	16	1771890	1773155	p13.3	MRPS34	1	0	1	0.985290577680916	3.58336214647228e-146
ENSG00000074201	11	77514936	77637805	q14.1	CLNS1A	1	0	0	0.690710441570231	5.25935252359881e-29
ENSG00000074266	11	86244544	86278813	q14.2	EED	1	0	0	-0.00471818367612913	0.910636768227946
ENSG00000074319	11	18468336	18527232	p15.1	TSG101	1	0	0	0.450886910003155	1.45686588791794e-36
ENSG00000074356	17	3802165	3846251	p13.2	NCBP3	0	0	0	-0.200124411592549	1.11425255496099e-08
ENSG00000074603	15	65442463	65517704	q22.31	DPP8	0	0	0	-0.12462031490086	8.11036213825903e-05
ENSG00000074755	17	4004445	4143020	p13.2	ZZEF1	0	0	0	-0.144156732146126	0.000110060553920755
ENSG00000075188	12	102073103	102120124	q23.2	NUP37	0	0	0	0.361272769764563	6.54786629154424e-24
ENSG00000075218	22	46296741	46330810	q13.31	GTSE1	0	0	0	1.734821445464	3.33728690770284e-190
ENSG00000075240	22	46576012	46679790	q13.31	GRAMD4	1	0	0	0.359762302174191	1.26191325486042e-17
ENSG00000075336	18	74148511	74160530	q22.3	TIMM21	1	0	0	-0.288091888600263	2.70714708338968e-10
ENSG00000075413	14	103385392	103503831	q32.32	MARK3	1	0	0	0.31741520852228	5.71627276524725e-24
ENSG00000075856	12	108522580	108561400	q23.3	SART3	1	0	0	0.251026038597032	8.11355879843851e-17
ENSG00000075914	3	44975241	45036066	p21.31	EXOSC7	1	0	0	0.216725943794104	6.74579419535705e-14
ENSG00000075975	3	12557014	12583713	p25.2	MKRN2	1	0	0	-0.147541377900306	7.46331295362583e-06
ENSG00000076043	11	114439386	114450279	q23.2	REXO2	0	0	0	-0.449971908463869	1.65769341439812e-23
ENSG00000076053	11	114400030	114414203	q23.2	RBM7	1	0	0	-0.836111659370678	7.16206996104452e-78
ENSG00000076201	3	47381011	47413441	p21.31	PTPN23	1	0	0	0.260834878349637	7.73738597224948e-20
ENSG00000076382	17	28577565	28599279	q11.2	SPAG5	0	0	0	1.24660560421805	9.58697023438937e-107
ENSG00000076604	17	28743984	28750958	q11.2	TRAF4	0	0	0	0.522021738700346	4.8554230143856e-24
ENSG00000076826	19	7595902	7618304	p13.2	CAMSAP3	0	0	0	1.36911570681261	1.11086510062143e-103
ENSG00000076924	19	7619525	7629565	p13.2	XAB2	0	0	0	0.0269696957810485	0.407442794701037
ENSG00000076944	19	7636881	7647873	p13.2	STXBP2	0	0	0	1.20847591989492	5.69533693643138e-127
ENSG00000076984	19	7903843	7914478	p13.2	MAP2K7	0	0	0	-0.263371666711854	3.34499235459885e-20
ENSG00000077147	10	96518109	96587452	q24.1	TM9SF3	1	0	0	-0.279772494908022	3.16473417379698e-14
ENSG00000077235	16	27459555	27549913	p12.1	GTF3C1	1	0	0	1.00257567089931	1.08599670493358e-144
ENSG00000077254	1	77695987	77759852	p31.1	USP33	1	0	0	-0.163789861799785	7.99447966946178e-05
ENSG00000077458	11	95768942	95790409	q21	FAM76B	0	0	0	-0.225186466068091	9.40582443873907e-08
ENSG00000077463	19	4174109	4182604	p13.3	SIRT6	1	0	1	0.254049601927667	1.33758814002365e-22
ENSG00000077514	11	74493851	74669117	q13.4	POLD3	0	0	0	0.287705982589253	2.59258278961001e-09
ENSG00000077549	1	19338776	19485539	p36.13	CAPZB	1	0	0	0.535395050709435	7.75164125434192e-80
ENSG00000078140	4	39698044	39782792	p14	UBE2K	1	0	0	0.50428174796231	5.14870450482257e-52
ENSG00000078142	18	41955206	42087830	q12.3	PIK3C3	1	0	0	0.206290717856356	3.32905341146143e-07
ENSG00000078246	12	2877223	2941140	p13.33	TULP3	0	0	1	-0.301119929850908	4.79828773827181e-15
ENSG00000078304	14	101761798	101927989	q32.31	PPP2R5C	1	0	0	0.126445808532392	1.35978856938956e-05
ENSG00000078369	1	1785285	1891117	p36.33	GNB1	1	0	1	0.263400941297586	3.06597065521416e-18
ENSG00000078618	1	51789191	51878937	p32.3	NRDC	0	0	0	0.119853288938795	0.000122985820416542
ENSG00000078668	8	42391624	42405897	p11.21	VDAC3	1	0	0	0.201447711754555	0.00198940619692818
ENSG00000078747	20	34363235	34511393	q11.22	ITCH	1	0	0	0.191903820119527	1.26751896594039e-10
ENSG00000078902	11	1274371	1309654	p15.5	TOLLIP	1	0	1	0.248518717837026	2.049512523193e-11
ENSG00000079134	18	214520	268050	p11.32	THOC1	0	0	1	0.339056716695523	2.03423400132257e-14
ENSG00000079246	2	216107464	216206303	q35	XRCC5	1	0	0	0.254785886213331	2.92320544034006e-15
ENSG00000079313	19	1815246	1848463	p13.3	REXO1	1	0	1	-0.0688430717897636	0.0152063188584227
ENSG00000079459	8	11795573	11839309	p23.1	FDFT1	1	0	0	-0.183482222836459	0.00167737749382663
ENSG00000079616	16	29790719	29805385	p11.2	KIF22	0	0	0	0.889912397757714	4.70371870402849e-125
ENSG00000079974	22	50767501	50783663	q13.33	RABL2B	0	0	1	0.191560645418033	1.31840664294798e-06
ENSG00000079999	19	10486120	10503741	p13.2	KEAP1	0	0	0	0.32814683314413	6.36017758125451e-24
ENSG00000080345	2	151409883	151508013	q23.3	RIF1	0	0	0	-0.215689841971229	5.71791875030767e-12
ENSG00000080573	19	9959561	10010471	p13.2	COL5A3	0	0	0	0.397501538986961	1.02623504934791e-11
ENSG00000080603	16	30698209	30741409	p11.2	SRCAP	0	1	0	0.472532108143151	2.89169771022742e-59
ENSG00000080608	9	2720469	2844241	p24.2	PUM3	0	0	0	0.046033577101757	0.332052969726915
ENSG00000080815	14	73136418	73223691	q24.2	PSEN1	1	0	0	0.483947481589032	3.17898325105926e-52
ENSG00000080986	18	2571511	2616635	p11.32	NDC80	0	0	1	1.92913156462105	1.9686340253351e-172
ENSG00000081019	1	113761832	113812476	p13.2	RSBN1	0	0	0	0.0240591073518046	0.517014749516882
ENSG00000081087	6	108041409	108165854	q21	OSTM1	1	0	0	-0.235226962011856	4.65281727946062e-08
ENSG00000081177	14	69191511	69244020	q24.1	EXD2	1	0	0	0.335446955493239	3.86602156772275e-15
ENSG00000081760	12	125065379	125143333	q24.31	AACS	0	0	0	-0.139273984256531	0.0125369708940805
ENSG00000082068	5	37379212	37753435	p13.2	WDR70	1	0	0	0.431947660616084	1.78299662059085e-26
ENSG00000082146	2	201387858	201480846	q33.1	STRADB	0	0	0	-0.166016751813054	0.00550402574240248
ENSG00000082213	5	31532266	31555058	p13.3	C5orf22	0	0	0	0.428697805766889	1.44689107688673e-21
ENSG00000082515	5	154941070	154969411	q33.2	MRPL22	1	0	0	0.496659919532698	1.80804486813772e-40
ENSG00000082701	3	119821323	120094417	q13.33	GSK3B	1	0	0	0.652333558713021	4.88933364432692e-54
ENSG00000083097	6	83067666	83171350	q14.1	DOP1A	0	0	0	-0.34598444152491	4.2731259481433e-19
ENSG00000083099	6	89568144	89638753	q15	LYRM2	0	0	0	0.107416621429711	0.00718469606806639
ENSG00000083168	8	41929479	42052026	p11.21	KAT6A	0	0	0	0.389867265903604	4.81254588293305e-08
ENSG00000083290	17	19770829	19867936	p11.2	ULK2	0	0	0	0.0585374795993558	0.303083093897775
ENSG00000083457	17	3714628	3801243	p13.2	ITGAE	0	0	0	-0.0400542115171332	0.326308622998512
ENSG00000083520	13	72752169	72782096	q21.33	DIS3	1	0	0	-0.402770684729082	5.47450767731988e-23
ENSG00000083535	13	72782059	73016461	q21.33	PIBF1	0	0	0	0.329120093025712	4.38014165792929e-16
ENSG00000083799	16	50742050	50801935	q12.1	CYLD	0	0	0	-0.0787593374215747	0.0653871161505497
ENSG00000083838	19	58474017	58481230	q13.43	ZNF446	1	1	1	0.377406284278123	9.3171294573884e-29
ENSG00000084444	12	13044284	13142521	p13.1	FAM234B	0	0	0	1.91950701696724	4.73837116375202e-70
ENSG00000084463	12	14784579	14803540	p12.3	WBP11	1	0	0	0.217867725887988	4.21643702428039e-05
ENSG00000084652	1	32179686	32198285	p35.2	TXLNA	1	0	0	0.0675979181950346	0.0235807019748086
ENSG00000084754	2	26190635	26244726	p23.3	HADHA	1	0	0	-0.594076843026866	1.75423503519556e-62
ENSG00000085274	3	169772831	169789716	q26.2	MYNN	1	1	0	0.00814229792483769	0.841265699370694
ENSG00000085377	6	105277565	105403084	q21	PREP	1	0	0	0.0209313781334539	0.694288899254763
ENSG00000085382	6	104728093	104859919	q16.3	HACE1	0	0	0	-0.231893078729019	3.49411288180766e-08
ENSG00000085415	18	12947133	12987536	p11.21	SEH1L	1	0	0	0.0948875256554399	0.0218854562181554
ENSG00000085433	1	108970214	109042113	p13.3	WDR47	0	0	0	-0.049282383926998	0.251065349986208
ENSG00000085788	8	38225218	38275558	p11.23	DDHD2	0	0	0	-0.235986590281894	0.000482402473571842
ENSG00000085840	1	52372829	52404459	p32.3	ORC1	0	0	0	0.882191004655137	1.23234806599616e-76
ENSG00000085872	19	16517889	16542530	p13.11	CHERP	1	0	0	0.192723171257804	2.05431284618745e-11
ENSG00000085978	2	233210051	233295674	q37.1	ATG16L1	1	0	0	0.762714631997715	2.90897878465263e-70
ENSG00000086062	9	33104082	33167356	p21.1	B4GALT1	0	0	0	0.517432443913327	3.15624406771212e-18
ENSG00000086102	9	33290511	33371157	p13.3	NFX1	1	1	0	0.152854086959307	1.01597319879687e-05
ENSG00000086189	5	62387254	62403939	q12.1	DIMT1	1	0	0	-0.436624455052015	5.87682690935622e-36
ENSG00000086200	5	62403972	62628582	q12.1	IPO11	0	0	0	0.323554188551664	2.03471127472713e-21
ENSG00000086232	7	6022244	6059230	p22.1	EIF2AK1	1	0	0	0.87337945283426	1.1375944733222e-113
ENSG00000086475	10	13317424	13348298	p13	SEPHS1	1	0	0	-0.0559614421068626	0.0989895972418786
ENSG00000086504	16	366969	371289	p13.3	MRPL28	1	0	1	0.347370917859466	2.36600554301522e-27
ENSG00000086598	12	123584531	123598577	q24.31	TMED2	1	0	0	0.487549139917154	4.7357728684907e-23
ENSG00000086619	1	236215555	236281985	q42.3	ERO1B	0	0	0	-0.0227521170433835	0.807739218224668
ENSG00000086712	X	16786427	16844519	p22.2	TXLNG	1	0	0	-0.272593451314749	9.08423298620817e-09
ENSG00000086827	11	113733187	113773811	q23.2	ZW10	1	0	0	-0.0616463068515015	0.117296262919786
ENSG00000086848	11	111782195	111871581	q23.1	ALG9	1	0	0	-0.539639734887245	1.34819274646596e-33
ENSG00000087053	11	95832882	95925315	q21	MTMR2	0	0	0	-0.293914062343517	6.59431209488963e-09
ENSG00000087111	17	28553383	28571872	q11.2	PIGS	1	0	0	-0.0617333952704636	0.161702991272052
ENSG00000087152	17	44191805	44200113	q21.31	ATXN7L3	1	0	0	0.171221521054638	4.00343463687497e-09
ENSG00000087263	16	56451490	56479100	q13	OGFOD1	1	0	0	0.0113405958361341	0.749010245692537
ENSG00000087274	4	2843857	2930076	p16.3	ADD1	0	0	1	-0.154504456814825	1.09751859656915e-07
ENSG00000087299	14	50237563	50312548	q21.3	L2HGDH	0	0	0	0.545464299886315	6.02353497811925e-24
ENSG00000087302	14	51989475	52010691	q22.1	RTRAF	0	0	0	-0.0238768015835625	0.537906527274453
ENSG00000087365	11	66050729	66069308	q13.1	SF3B2	1	0	0	0.0985056718280048	0.000947577164041574
ENSG00000087884	11	77821109	77918432	q14.1	AAMDC	0	0	0	-0.172666346981381	0.0162652591450335
ENSG00000087995	17	62423867	62450822	q23.2	METTL2A	1	0	0	0.35219882148604	3.89134092222026e-22
ENSG00000088038	19	54137717	54155708	q13.42	CNOT3	1	0	0	0.168704051291825	2.66826954248443e-08
ENSG00000088247	19	6413348	6424794	p13.3	KHSRP	1	0	1	0.0342677093686037	0.214405492985228
ENSG00000088256	19	3094410	3124004	p13.3	GNA11	0	0	1	-0.242494967296331	3.75215735979617e-15
ENSG00000088325	20	31739271	31801805	q11.21	TPX2	0	0	0	2.57869010634573	1.06136460148829e-259
ENSG00000088387	13	98793429	99086625	q32.3	DOCK9	0	0	0	-0.220662769482826	1.40217700415371e-06
ENSG00000088448	13	110878540	110915069	q34	ANKRD10	1	0	1	0.202529170410836	1.99011117402833e-05
ENSG00000088451	13	94574051	94596257	q32.1	TGDS	0	0	0	-0.405869419289674	1.10271218536418e-20
ENSG00000088682	16	57447425	57461275	q21	COQ9	0	0	0	-0.318751836984242	2.22052945097843e-22
ENSG00000088727	3	47228026	47283451	p21.31	KIF9	0	0	0	0.688813380558928	5.72726607661492e-66
ENSG00000088766	20	6006090	6040053	p12.3	CRLS1	1	0	0	-0.0503213465767614	0.274208001590217
ENSG00000088812	20	3471040	3651122	p13	ATRN	1	0	1	0.20574199503259	3.8490909423475e-07
ENSG00000088833	20	1442162	1473842	p13	NSFL1C	1	0	1	-0.0644783392634219	0.0592378602298578
ENSG00000088876	20	2481817	2524702	p13	ZNF343	1	1	1	0.0301367151522721	0.441035534427442
ENSG00000088888	20	3846799	3876123	p13	MAVS	1	0	1	-0.314854130722808	1.14349544703006e-14
ENSG00000088930	20	21303304	21389827	p11.22	XRN2	0	0	0	0.342826707213649	3.87222331027456e-15
ENSG00000089006	20	17941597	17968980	p11.23	SNX5	1	0	0	-0.30174878439706	3.25414928121162e-13
ENSG00000089009	12	112405190	112418838	q24.13	RPL6	1	0	0	-0.338375690076886	2.38212195928419e-27
ENSG00000089022	12	111841978	111902238	q24.12	MAPKAPK5	1	0	0	0.204701256708432	1.2011517082224e-10
ENSG00000089048	20	13714322	13784886	p12.1	ESF1	1	0	0	0.00229191638366562	0.957603244844528
ENSG00000089053	12	121308245	121399896	q24.31	ANAPC5	1	0	0	0.236443780458155	1.82783243221912e-13
ENSG00000089063	20	5068232	5113103	p12.3	TMEM230	1	0	0	0.122482084368882	0.00181430663997519
ENSG00000089091	20	18383367	18467281	p11.23	DZANK1	0	0	0	0.362466789807464	2.64919314202638e-07
ENSG00000089123	20	13389392	13638940	p12.1	TASP1	0	0	0	0.303084803167194	1.7958661715124e-14
ENSG00000089154	12	120127203	120194710	q24.23	GCN1	0	0	0	0.144278211388089	2.86885261180424e-06
ENSG00000089234	12	111642146	111685986	q24.12	BRAP	0	0	0	0.0659554358232384	0.0269491210247663
ENSG00000089685	17	78214186	78225636	q25.3	BIRC5	0	0	1	2.06700140604712	1.05242822049655e-176
